Date: 07-04 at 22:52:33, iter: 157, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1333.35, max: 1346.55
Date: 07-04 at 22:53:49, iter: 158, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 22:55:24, iter: 159, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 22:56:50, iter: 160, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 22:58:30, iter: 161, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:00:15, iter: 162, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:01:46, iter: 163, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:02:55, iter: 164, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:04:27, iter: 165, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:06:13, iter: 166, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:07:26, iter: 167, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:08:56, iter: 168, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
Date: 07-04 at 23:10:20, iter: 169, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1332.41(10) mean: 1332.41, max: 1332.41
