Date: 07-04 at 09:30:13, iter: 136, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1426.68, max: 1496.19
Date: 07-04 at 09:31:36, iter: 137, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1424.17, max: 1475.56
Date: 07-04 at 09:33:02, iter: 138, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1423.18, max: 1476.34
Date: 07-04 at 09:34:16, iter: 139, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1423.48, max: 1472.14
Date: 07-04 at 09:35:35, iter: 140, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1419.87, max: 1445.87
Date: 07-04 at 09:36:57, iter: 141, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:38:25, iter: 142, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:39:49, iter: 143, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:41:12, iter: 144, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:42:32, iter: 145, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:44:01, iter: 146, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:45:23, iter: 147, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:46:46, iter: 148, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.52(12) mean: 1418.95, max: 1445.87
Date: 07-04 at 09:48:04, iter: 149, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.56, max: 1412.90
Date: 07-04 at 09:49:34, iter: 150, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 09:50:56, iter: 151, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 09:52:21, iter: 152, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 09:53:44, iter: 153, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 09:55:03, iter: 154, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 09:56:30, iter: 155, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 09:57:58, iter: 156, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 09:59:25, iter: 157, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 10:00:40, iter: 158, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.44, max: 1411.52
Date: 07-04 at 10:01:57, iter: 159, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1429.84, max: 1434.51
Date: 07-04 at 10:03:23, iter: 160, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.24, max: 1411.57
Date: 07-04 at 10:04:43, iter: 161, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1412.17, max: 1425.41
Date: 07-04 at 10:06:01, iter: 162, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
Date: 07-04 at 10:07:21, iter: 163, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
Date: 07-04 at 10:08:43, iter: 164, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
Date: 07-04 at 10:10:09, iter: 165, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
Date: 07-04 at 10:11:40, iter: 166, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
Date: 07-04 at 10:12:54, iter: 167, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
Date: 07-04 at 10:14:22, iter: 168, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
Date: 07-04 at 10:15:43, iter: 169, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.14(12) mean: 1411.22, max: 1411.52
