Date: 11-07 at 22:58:57, #particle: 15, iter: 104, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1296.81, max: 1355.33
Date: 11-07 at 23:00:06, #particle: 15, iter: 105, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1222.41(9), mean: 1295.23, max: 1403.45
Date: 11-07 at 23:01:13, #particle: 15, iter: 107, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1485.66, max: 1805.23
Date: 11-07 at 23:02:21, #particle: 15, iter: 108, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1359.50, max: 1652.42
Date: 11-07 at 23:03:27, #particle: 15, iter: 109, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1309.26, max: 1464.94
Date: 11-07 at 23:04:29, #particle: 15, iter: 110, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1355.23, max: 1532.52
Date: 11-07 at 23:05:37, #particle: 15, iter: 112, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1590.23, max: 1995.58
Date: 11-07 at 23:06:45, #particle: 15, iter: 113, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1401.78, max: 2013.63
Date: 11-07 at 23:07:52, #particle: 15, iter: 114, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1338.59, max: 1515.24
Date: 11-07 at 23:08:59, #particle: 15, iter: 115, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1324.38, max: 1504.35
Date: 11-07 at 23:10:08, #particle: 15, iter: 117, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1219.68(9), mean: 1498.05, max: 1800.66
