Date: 07-05 at 15:23:20, iter: 144, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:24:35, iter: 145, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:26:07, iter: 146, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:27:24, iter: 147, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:28:41, iter: 148, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:30:05, iter: 149, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:31:24, iter: 150, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:32:56, iter: 151, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:34:16, iter: 152, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:35:30, iter: 153, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:36:47, iter: 154, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:38:07, iter: 155, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:39:24, iter: 156, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:40:32, iter: 157, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:41:51, iter: 158, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:43:07, iter: 159, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:44:29, iter: 160, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:45:49, iter: 161, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:47:03, iter: 162, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:48:19, iter: 163, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:49:47, iter: 164, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:51:12, iter: 165, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:52:35, iter: 166, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:53:58, iter: 167, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
Date: 07-05 at 15:55:28, iter: 168, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1137.67(11) mean: 1137.67, max: 1137.67
