Date: 07-20 at 16:38:49, #particle: 10, iter: 139, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1778.83, max: 1920.80
Date: 07-20 at 16:39:30, #particle: 10, iter: 140, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1770.59, max: 1916.19
Date: 07-20 at 16:40:15, #particle: 10, iter: 141, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1747.92, max: 1937.86
Date: 07-20 at 16:40:56, #particle: 10, iter: 143, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 2193.40, max: 2903.85
Date: 07-20 at 16:41:45, #particle: 10, iter: 145, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1832.12, max: 2058.29
Date: 07-20 at 16:42:28, #particle: 10, iter: 146, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1833.33, max: 2090.86
Date: 07-20 at 16:43:10, #particle: 10, iter: 147, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1859.80, max: 2143.51
Date: 07-20 at 16:43:56, #particle: 10, iter: 148, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1728.75, max: 1840.34
Date: 07-20 at 16:44:38, #particle: 10, iter: 150, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1785.58, max: 1930.37
Date: 07-20 at 16:45:21, #particle: 10, iter: 151, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1773.55, max: 1992.53
Date: 07-20 at 16:46:04, #particle: 10, iter: 152, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1786.57, max: 2018.45
Date: 07-20 at 16:46:49, #particle: 10, iter: 153, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1772.40, max: 2053.56
Date: 07-20 at 16:47:33, #particle: 10, iter: 155, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1782.99, max: 1988.63
Date: 07-20 at 16:48:15, #particle: 10, iter: 156, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1748.95, max: 1904.06
Date: 07-20 at 16:48:57, #particle: 10, iter: 157, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1659.17(21), mean: 1761.64, max: 1933.61
