Date: 09-17 at 18:18:22, #particle: 15, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 910.36, max: 1062.92
Date: 09-17 at 18:19:20, #particle: 15, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 911.72, max: 1099.52
Date: 09-17 at 18:20:25, #particle: 15, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 951.12, max: 1292.55
Date: 09-17 at 18:21:23, #particle: 15, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 2775.74, max: 3423.73
Date: 09-17 at 18:22:27, #particle: 15, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1217.63, max: 1295.56
Date: 09-17 at 18:23:25, #particle: 15, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1175.30, max: 1308.78
Date: 09-17 at 18:24:27, #particle: 15, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1264.56, max: 1435.78
Date: 09-17 at 18:25:24, #particle: 15, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1269.71, max: 1469.12
Date: 09-17 at 18:26:20, #particle: 15, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1121.83, max: 1327.52
Date: 09-17 at 18:27:19, #particle: 15, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 995.67, max: 1143.93
Date: 09-17 at 18:28:24, #particle: 15, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1105.78, max: 1577.54
Date: 09-17 at 18:29:16, #particle: 15, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1075.04, max: 1540.65
Date: 09-17 at 18:30:15, #particle: 15, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 2995.73, max: 3729.92
Date: 09-17 at 18:31:24, #particle: 15, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1306.12, max: 1495.79
Date: 09-17 at 18:32:18, #particle: 15, iter: 80, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 884.17(11), mean: 1431.46, max: 1781.11
