Date: 07-06 at 13:58:31, iter: 122, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1197.21, max: 1265.12
Date: 07-06 at 13:59:40, iter: 123, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1172.08, max: 1192.82
Date: 07-06 at 14:00:49, iter: 124, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1169.19, max: 1189.76
Date: 07-06 at 14:02:00, iter: 125, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1170.56, max: 1196.03
Date: 07-06 at 14:03:10, iter: 126, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.81, max: 1192.04
Date: 07-06 at 14:04:17, iter: 127, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.71, max: 1190.99
Date: 07-06 at 14:05:23, iter: 128, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.71, max: 1190.99
Date: 07-06 at 14:06:33, iter: 129, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.71, max: 1190.99
Date: 07-06 at 14:07:42, iter: 130, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1181.02, max: 1241.70
Date: 07-06 at 14:08:50, iter: 131, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1169.66, max: 1191.54
Date: 07-06 at 14:09:59, iter: 132, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.80, max: 1190.99
Date: 07-06 at 14:11:09, iter: 133, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.71, max: 1190.99
Date: 07-06 at 14:12:21, iter: 134, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1173.94, max: 1231.01
Date: 07-06 at 14:13:27, iter: 135, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.41, max: 1185.78
Date: 07-06 at 14:14:35, iter: 136, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.35, max: 1185.01
Date: 07-06 at 14:15:45, iter: 137, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.35, max: 1185.01
Date: 07-06 at 14:16:58, iter: 138, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.35, max: 1185.01
Date: 07-06 at 14:18:05, iter: 139, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.35, max: 1185.01
Date: 07-06 at 14:19:12, iter: 140, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1168.35, max: 1185.01
Date: 07-06 at 14:20:22, iter: 141, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.66, max: 1166.81
Date: 07-06 at 14:21:35, iter: 142, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:22:41, iter: 143, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:23:47, iter: 144, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:24:57, iter: 145, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:26:08, iter: 146, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:27:17, iter: 147, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:28:22, iter: 148, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:29:30, iter: 149, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:30:39, iter: 150, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 1165.52, max: 1165.52
Date: 07-06 at 14:31:50, iter: 152, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1165.52(11) mean: 2011.23, max: 3195.53
