Date: 07-14 at 08:42:36, iter: 159, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1588.96, max: 1812.82
Date: 07-14 at 08:43:36, iter: 161, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1615.52, max: 1770.63
Date: 07-14 at 08:44:28, iter: 162, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1606.83, max: 1854.11
Date: 07-14 at 08:45:23, iter: 163, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1555.82, max: 1891.81
Date: 07-14 at 08:46:20, iter: 164, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1528.52, max: 1604.53
Date: 07-14 at 08:47:12, iter: 166, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1609.03, max: 1879.70
Date: 07-14 at 08:48:06, iter: 167, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1594.19, max: 1886.75
Date: 07-14 at 08:49:05, iter: 168, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1533.34, max: 1609.12
Date: 07-14 at 08:49:56, iter: 169, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1552.62, max: 1684.20
Date: 07-14 at 08:50:52, iter: 171, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1590.42, max: 1890.90
Date: 07-14 at 08:51:48, iter: 172, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1547.64, max: 1706.00
Date: 07-14 at 08:52:41, iter: 173, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1544.94, max: 1739.92
Date: 07-14 at 08:53:34, iter: 174, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1534.15, max: 1589.10
Date: 07-14 at 08:54:31, iter: 176, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1590.99, max: 1764.19
Date: 07-14 at 08:55:24, iter: 177, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1598.75, max: 1791.07
Date: 07-14 at 08:56:19, iter: 178, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1519.40, max: 1595.25
Date: 07-14 at 08:57:16, iter: 179, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1516.21, max: 1579.91
Date: 07-14 at 08:58:15, iter: 181, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1511.26, max: 1579.91
Date: 07-14 at 08:59:08, iter: 182, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1510.63, max: 1579.91
Date: 07-14 at 09:00:03, iter: 183, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1508.18, max: 1579.91
Date: 07-14 at 09:01:00, iter: 184, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1516.18, max: 1579.91
Date: 07-14 at 09:01:57, iter: 186, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1516.20, max: 1669.90
Date: 07-14 at 09:02:50, iter: 187, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1507.52, max: 1587.79
Date: 07-14 at 09:03:45, iter: 188, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1513.98, max: 1645.90
Date: 07-14 at 09:04:42, iter: 189, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1498.82, max: 1533.66
Date: 07-14 at 09:05:36, iter: 191, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1492.51(15) mean: 1533.15, max: 1754.27
Date: 07-14 at 09:06:30, iter: 192, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.74(15) mean: 1524.13, max: 1781.80
Date: 07-14 at 09:07:26, iter: 193, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.74(15) mean: 1529.03, max: 1794.62
Date: 07-14 at 09:08:21, iter: 194, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.74(15) mean: 1501.82, max: 1583.37
Date: 07-14 at 09:09:14, iter: 195, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.74(15) mean: 1501.18, max: 1583.37
Date: 07-14 at 09:10:10, iter: 196, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.74(15) mean: 1502.92, max: 1606.00
Date: 07-14 at 09:11:09, iter: 198, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.46(15) mean: 1521.20, max: 1808.25
Date: 07-14 at 09:12:02, iter: 199, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.46(15) mean: 1501.76, max: 1599.83
Date: 07-14 at 09:12:56, iter: 200, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.46(15) mean: 1500.27, max: 1578.40
Date: 07-14 at 09:13:47, iter: 201, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1491.46(15) mean: 1525.90, max: 1604.68
